source_file,link_text,target_node
Organizations/HASTAC Leadership.md,Alex Gil,Alex Gil
Organizations/HASTAC Leadership.md,Sheryl Grant,Sheryl Grant
Organizations/HASTAC Leadership.md,Stefka Hristova,Stefka Hristova
Organizations/HASTAC Leadership.md,Bruce Janz,Bruce Janz
Organizations/HASTAC Leadership.md,Purdom Lindblad,Purdom Lindblad
Organizations/HASTAC Leadership.md,Marisa Parham,Marisa Parham
Organizations/HASTAC Leadership.md,Miriam Posner,Miriam Posner
Organizations/HASTAC Leadership.md,Karyn Recollet,Karyn Recollet
Organizations/HASTAC Leadership.md,Dean Rehberger,Dean Rehberger
Organizations/HASTAC Leadership.md,Anastasia Salter,Anastasia Salter
Organizations/HASTAC Leadership.md,Danica Savonick,Danica Savonick
Organizations/HASTAC Leadership.md,Michael Simeone,Michael Simeone
Organizations/HASTAC Leadership.md,Victoria Szabo,Victoria Szabo
Organizations/HASTAC Leadership.md,T.L. Taylor,T.L. Taylor
Organizations/HASTAC Leadership.md,Stephanie E. Vasko,Stephanie E. Vasko
Organizations/HASTAC Leadership.md,Kalle Westerling,Kalle Westerling
Organizations/HASTAC Leadership.md,Zac Zimmer,Zac Zimmer
Organizations/HASTAC Leadership.md,Rachel Arteaga,Rachel Arteaga
Organizations/HASTAC Leadership.md,Ruzena Bajcsy,Ruzena Bajcsy
Organizations/HASTAC Leadership.md,John Seely Brown,John Seely Brown
Organizations/HASTAC Leadership.md,Dixie Ching,Dixie Ching
Organizations/HASTAC Leadership.md,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun
Organizations/HASTAC Leadership.md,Allison Clark,Allison Clark
Organizations/HASTAC Leadership.md,Dan Cohen,Dan Cohen
Organizations/HASTAC Leadership.md,Sharon Daniel,Sharon Daniel
Organizations/HASTAC Leadership.md,Jade E. Davis,Jade E. Davis
Organizations/HASTAC Leadership.md,Jorge Duran,Jorge Duran
Organizations/HASTAC Leadership.md,Mary Flanagan,Mary Flanagan
Organizations/HASTAC Leadership.md,Matt Gold,Matt Gold
Organizations/HASTAC Leadership.md,Geraldine Heng,Geraldine Heng
Organizations/HASTAC Leadership.md,Adeline Koh,Adeline Koh
Organizations/HASTAC Leadership.md,Elizabeth LaPensée,Elizabeth LaPensée
Organizations/HASTAC Leadership.md,Elizabeth Losh,Elizabeth Losh
Organizations/HASTAC Leadership.md,Tom MacCalla,Tom MacCalla
